text,target,prompt
Will I have to wait much longer for my new card to arrive?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Will I have to wait much longer for my new card to arrive?

### Response:
card_arrival"
What's the reason my new card hasn't come?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
What's the reason my new card hasn't come?

### Response:
card_arrival"
Is there a tracking number for the card you sent me?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Is there a tracking number for the card you sent me?

### Response:
card_arrival"
How do I track the card you sent me?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I track the card you sent me?

### Response:
card_arrival"
Can the card was sen to me be tracked?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Can the card was sen to me be tracked?

### Response:
card_arrival"
I was expecting my new card by now.,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I was expecting my new card by now.

### Response:
card_arrival"
How long does it take for a new card to ship?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How long does it take for a new card to ship?

### Response:
card_arrival"
I'm still waiting for my card that was issued a week ago. What should I do?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I'm still waiting for my card that was issued a week ago. What should I do?

### Response:
card_arrival"
Could I get tracking on the card?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Could I get tracking on the card?

### Response:
card_arrival"
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
2 weeks ago I ordered my new card.  It isn't here.  What should I do?

### Response:
card_arrival"
Have you sent out my card yet?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Have you sent out my card yet?

### Response:
card_arrival"
I'm still waiting for my new card.,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I'm still waiting for my new card.

### Response:
card_arrival"
My card hasn't shown up yet.,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
My card hasn't shown up yet.

### Response:
card_arrival"
"I still haven't received my card after two weeks, is it lost?",card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I still haven't received my card after two weeks, is it lost?

### Response:
card_arrival"
"It's been two weeks and I haven't gotten my card, what do I do?",card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
It's been two weeks and I haven't gotten my card, what do I do?

### Response:
card_arrival"
why have i not got my new card?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
why have i not got my new card?

### Response:
card_arrival"
Is it possible to track the card you sent me?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Is it possible to track the card you sent me?

### Response:
card_arrival"
When will I recieve my new card?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
When will I recieve my new card?

### Response:
card_arrival"
I haven't gotten my new card.,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I haven't gotten my new card.

### Response:
card_arrival"
My new card isn't here and it was issued a week ago.,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
My new card isn't here and it was issued a week ago.

### Response:
card_arrival"
Am I able to track a card that has already been sent?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Am I able to track a card that has already been sent?

### Response:
card_arrival"
"How do I know if I will get my card, or if it is lost?",card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I know if I will get my card, or if it is lost?

### Response:
card_arrival"
Has my card been lost in delivery?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Has my card been lost in delivery?

### Response:
card_arrival"
Is it possible for me to track the card is was mailed to me?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Is it possible for me to track the card is was mailed to me?

### Response:
card_arrival"
Is there a way to track the new card you sent me?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Is there a way to track the new card you sent me?

### Response:
card_arrival"
Why haven't I received my new card yet?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Why haven't I received my new card yet?

### Response:
card_arrival"
I don't have my card in 1 week.  Should I be worried?,card_arrival,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I don't have my card in 1 week.  Should I be worried?

### Response:
card_arrival"
if i found a lost card can i put it back in app,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
if i found a lost card can i put it back in app

### Response:
card_linking"
"I found my card in my jacket this morning, so can I reactivate it?",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I found my card in my jacket this morning, so can I reactivate it?

### Response:
card_linking"
I want my card I just received to show up in the app. How do I do that?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I want my card I just received to show up in the app. How do I do that?

### Response:
card_linking"
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?

### Response:
card_linking"
I found my lost card. Am I still able to use it?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I found my lost card. Am I still able to use it?

### Response:
card_linking"
"Show me how to link the new card,",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Show me how to link the new card,

### Response:
card_linking"
how do i get the card linked,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
how do i get the card linked

### Response:
card_linking"
I need to find the card I received in the app.,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I need to find the card I received in the app.

### Response:
card_linking"
I received my new card.  Where is it in the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I received my new card.  Where is it in the app?

### Response:
card_linking"
"Now that I have my card, how do I connect it to the app?",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Now that I have my card, how do I connect it to the app?

### Response:
card_linking"
How do I reactivate my card?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I reactivate my card?

### Response:
card_linking"
How do I see my card in the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I see my card in the app?

### Response:
card_linking"
Where do I scan my card?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Where do I scan my card?

### Response:
card_linking"
How can I make my card show up in the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How can I make my card show up in the app?

### Response:
card_linking"
How do I add my new card to the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I add my new card to the app?

### Response:
card_linking"
How do I get my card on the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I get my card on the app?

### Response:
card_linking"
I found my old card. Can I link it back into the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I found my old card. Can I link it back into the app?

### Response:
card_linking"
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?

### Response:
card_linking"
What do I do if I already had a card with you guys?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
What do I do if I already had a card with you guys?

### Response:
card_linking"
How do I link my card in the app.,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I link my card in the app.

### Response:
card_linking"
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I need a card reactivation, I had reported my card lost but I ran across it in my jacket.

### Response:
card_linking"
Can you tell me how to get my card on the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Can you tell me how to get my card on the app?

### Response:
card_linking"
"Hey, I have my card, how do I get it to show in the app?",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Hey, I have my card, how do I get it to show in the app?

### Response:
card_linking"
"lost card found, want to put it back in app",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
lost card found, want to put it back in app

### Response:
card_linking"
"I want to link to my card card with you, how?",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I want to link to my card card with you, how?

### Response:
card_linking"
How do I link a new card in the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I link a new card in the app?

### Response:
card_linking"
I don't see my card anywhere in the app.,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I don't see my card anywhere in the app.

### Response:
card_linking"
I want to link my new card. Can you help?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I want to link my new card. Can you help?

### Response:
card_linking"
If I have a physical card can I link it?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
If I have a physical card can I link it?

### Response:
card_linking"
Can I add a card that I just found (again) to the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Can I add a card that I just found (again) to the app?

### Response:
card_linking"
Can you show me where to link the new card?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Can you show me where to link the new card?

### Response:
card_linking"
How do I add the card I just received to show up in the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I add the card I just received to show up in the app?

### Response:
card_linking"
"My card arrived but I need to make it work in the app, how do I do that?",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
My card arrived but I need to make it work in the app, how do I do that?

### Response:
card_linking"
How do I add a card on to the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I add a card on to the app?

### Response:
card_linking"
"I found the card that I thought I lost, and I would like to reactivate it.",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I found the card that I thought I lost, and I would like to reactivate it.

### Response:
card_linking"
How do I add a new card?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I add a new card?

### Response:
card_linking"
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Can I reactivate my card? I reported it lost and found it this morning in my jacket.

### Response:
card_linking"
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I recently reported my card as missing/lost, and I just found it. Can I still use it?

### Response:
card_linking"
I would like to reactivate my card that I previously reported lost. I located the card this morning.,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I would like to reactivate my card that I previously reported lost. I located the card this morning.

### Response:
card_linking"
My card has been found. Is there any way for me to put it back into the app?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
My card has been found. Is there any way for me to put it back into the app?

### Response:
card_linking"
How do I link a new card to an existing one?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I link a new card to an existing one?

### Response:
card_linking"
I already have a card and want to link it,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I already have a card and want to link it

### Response:
card_linking"
How do I reactivate a card I thought I lost?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I reactivate a card I thought I lost?

### Response:
card_linking"
"I got my card now, how do I make it show up in the app?",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I got my card now, how do I make it show up in the app?

### Response:
card_linking"
Where can I link a new card?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Where can I link a new card?

### Response:
card_linking"
"I got a card, how do I get it in the app?",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
I got a card, how do I get it in the app?

### Response:
card_linking"
"My new card isn't in my app, how do I get it in there?",card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
My new card isn't in my app, how do I get it in there?

### Response:
card_linking"
Is there a way to link the card i just got?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Is there a way to link the card i just got?

### Response:
card_linking"
How do I link one of your card that I already have?,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I link one of your card that I already have?

### Response:
card_linking"
help me link my card,card_linking,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
help me link my card

### Response:
card_linking"
Where can I get your exchange rates from?,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Where can I get your exchange rates from?

### Response:
exchange_rate"
how do you get exchange rates,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
how do you get exchange rates

### Response:
exchange_rate"
What is the exchange looking like?,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
What is the exchange looking like?

### Response:
exchange_rate"
What is your opinion on the exchange rate?,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
What is your opinion on the exchange rate?

### Response:
exchange_rate"
How are exchange rates determined?,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How are exchange rates determined?

### Response:
exchange_rate"
Where does the exchange rate stand right now?,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Where does the exchange rate stand right now?

### Response:
exchange_rate"
How do you determine your exchange rates?,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do you determine your exchange rates?

### Response:
exchange_rate"
What are you exchange rates?,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
What are you exchange rates?

### Response:
exchange_rate"
How do I know what exchange rate I will get?,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
How do I know what exchange rate I will get?

### Response:
exchange_rate"
Please explain your exchange rate policy.,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Please explain your exchange rate policy.

### Response:
exchange_rate"
Will I know which exchange rate I will get?,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Will I know which exchange rate I will get?

### Response:
exchange_rate"
Could you please tell me your exchange rates?,exchange_rate,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Categorize the following banking query into its corresponding intent.

### Input:
Could you please tell me your exchange rates?

### Response:
exchange_rate"
